point_index,point_lat,point_lon,metric_rent
0,55.707375,37.56498766666665,51262.0
1,55.707375,37.56691496969697,51262.0
2,55.707375,37.568842272727274,51262.0
3,55.707375,37.57076957575757,51262.0
4,55.707375,37.572696878787866,47196.0
5,55.707375,37.57462418181818,47196.0
6,55.707375,37.57655148484847,47196.0
7,55.707375,37.57847878787878,47196.0
8,55.707375,37.580406090909094,45885.0
9,55.707375,37.58233339393938,45885.0
10,55.707375,37.584260696969686,45885.0
11,55.707375,37.58618799999999,45885.0
12,55.707375,37.58811530303029,57000.0
13,55.707375,37.5900426060606,57000.0
14,55.707375,37.591969909090906,57000.0
15,55.707375,37.59389721212121,57000.0
16,55.707375,37.595824515151506,47500.0
17,55.707375,37.59775181818181,47500.0
18,55.707375,37.59967912121211,47500.0
19,55.707375,37.60160642424242,47500.0
20,55.707375,37.603533727272726,47500.0
21,55.707375,37.60546103030303,39862.0
22,55.707375,37.60738833333333,39862.0
23,55.707375,37.60931563636363,39862.0
24,55.707375,37.61124293939393,39862.0
25,55.707375,37.61317024242424,44118.0
26,55.707375,37.61509754545454,44118.0
27,55.707375,37.61702484848485,44118.0
28,55.707375,37.61895215151515,44118.0
29,55.707375,37.62087945454545,48488.0
30,55.707375,37.62280675757575,48488.0
31,55.707375,37.624734060606066,48488.0
32,55.707375,37.62666136363636,48488.0
33,55.707375,37.66135281818181,40774.0
34,55.707375,37.66328012121212,40774.0
35,55.707375,37.66520742424242,40774.0
36,55.707375,37.667134727272725,40774.0
37,55.707375,37.669062030303024,38000.0
38,55.707375,37.67098933333333,38000.0
39,55.707375,37.67291663636364,38000.0
40,55.707375,37.67484393939394,38000.0
41,55.707375,37.67677124242424,41895.0
42,55.707375,37.678698545454544,41895.0
43,55.707375,37.68062584848485,41895.0
44,55.707375,37.68255315151515,41895.0
45,55.70827694949495,37.56591496969697,51262.0
46,55.70827694949495,37.567842272727276,51262.0
47,55.70827694949495,37.56976957575758,51262.0
48,55.70827694949495,37.57169687878788,47196.0
49,55.70827694949495,37.57362418181818,47196.0
50,55.70827694949495,37.575551484848475,47196.0
51,55.70827694949495,37.57747878787878,47196.0
52,55.70827694949495,37.579406090909096,47196.0
53,55.70827694949495,37.58133339393939,45885.0
54,55.70827694949495,37.583260696969695,45885.0
55,55.70827694949495,37.585188,45885.0
56,55.70827694949495,37.587115303030295,45885.0
57,55.70827694949495,37.5890426060606,57000.0
58,55.70827694949495,37.59096990909091,57000.0
59,55.70827694949495,37.59289721212121,57000.0
60,55.70827694949495,37.59482451515152,57000.0
61,55.70827694949495,37.59675181818181,47500.0
62,55.70827694949495,37.598679121212115,47500.0
63,55.70827694949495,37.60060642424242,47500.0
64,55.70827694949495,37.60253372727273,47500.0
65,55.70827694949495,37.60446103030303,39862.0
66,55.70827694949495,37.60638833333333,39862.0
67,55.70827694949495,37.60831563636364,39862.0
68,55.70827694949495,37.610242939393935,39862.0
69,55.70827694949495,37.61217024242424,44118.0
70,55.70827694949495,37.61409754545454,44118.0
71,55.70827694949495,37.61602484848485,44118.0
72,55.70827694949495,37.61795215151515,44118.0
73,55.70827694949495,37.619879454545455,48488.0
74,55.70827694949495,37.62180675757576,48488.0
75,55.70827694949495,37.62373406060606,48488.0
76,55.70827694949495,37.62566136363636,48488.0
77,55.70827694949495,37.62758866666667,48488.0
78,55.70827694949495,37.63915248484847,40793.0
79,55.70827694949495,37.64107978787879,40793.0
80,55.70827694949495,37.643007090909094,40793.0
81,55.70827694949495,37.66035281818181,40774.0
82,55.70827694949495,37.66228012121211,40774.0
83,55.70827694949495,37.66420742424242,40774.0
84,55.70827694949495,37.66613472727273,40774.0
85,55.70827694949495,37.66806203030303,38000.0
86,55.70827694949495,37.66998933333333,38000.0
87,55.70827694949495,37.67191663636363,38000.0
88,55.70827694949495,37.67384393939393,38000.0
89,55.70827694949495,37.67577124242424,41895.0
90,55.70827694949495,37.67769854545455,41895.0
91,55.70827694949495,37.67962584848485,41895.0
92,55.70827694949495,37.68155315151515,41895.0
93,55.7091788989899,37.56691496969697,51262.0
94,55.7091788989899,37.568842272727274,51262.0
95,55.7091788989899,37.57076957575757,51262.0
96,55.7091788989899,37.572696878787866,47196.0
97,55.7091788989899,37.57462418181818,47196.0
98,55.7091788989899,37.57655148484847,47196.0
99,55.7091788989899,37.57847878787878,47196.0
100,55.7091788989899,37.580406090909094,45885.0
101,55.7091788989899,37.58233339393938,45885.0
102,55.7091788989899,37.584260696969686,45885.0
103,55.7091788989899,37.58618799999999,45885.0
104,55.7091788989899,37.58811530303029,57000.0
105,55.7091788989899,37.5900426060606,57000.0
106,55.7091788989899,37.591969909090906,57000.0
107,55.7091788989899,37.59389721212121,57000.0
108,55.7091788989899,37.595824515151506,47500.0
109,55.7091788989899,37.59775181818181,47500.0
110,55.7091788989899,37.59967912121211,47500.0
111,55.7091788989899,37.60160642424242,47500.0
112,55.7091788989899,37.603533727272726,47500.0
113,55.7091788989899,37.60546103030303,39862.0
114,55.7091788989899,37.60738833333333,39862.0
115,55.7091788989899,37.60931563636363,39862.0
116,55.7091788989899,37.61124293939393,39862.0
117,55.7091788989899,37.61317024242424,44118.0
118,55.7091788989899,37.61509754545454,44118.0
119,55.7091788989899,37.61702484848485,44118.0
120,55.7091788989899,37.61895215151515,44118.0
121,55.7091788989899,37.62087945454545,48488.0
122,55.7091788989899,37.62280675757575,48488.0
123,55.7091788989899,37.624734060606066,48488.0
124,55.7091788989899,37.62666136363636,48488.0
125,55.7091788989899,37.636297878787865,40793.0
